Length,Word,Pattern,Syllable_count
2,اب,,
2,اش,,
2,ال,,
2,بز,,
2,به,,
2,بژ,,
2,تب,,
2,جک,,
2,خر,,
2,خط,,
2,خل,,
2,دل,,
2,ده,,
2,دو,,
2,رز,,
2,ری,,
2,زر,,
2,زن,,
2,سر,,
2,سن,,
2,سه,,
2,سگ,,
2,شش,,
2,شک,,
2,صد,,
2,فر,,
2,فک,,
2,قم,,
2,لر,,
2,لی,,
2,مو,,
2,نر,,
2,نه,,
2,وب,,
2,پا,,
2,پر,,
2,چک,,
2,کت,,
2,کر,,
2,کف,,
2,کم,,
2,گز,,
2,گل,,
2,یخ,,
2,یک,,
3,ابد,,
3,ابی,,
3,اتش,,
3,اتو,,
3,اجر,,
3,اخر,,
3,اخم,,
3,ادب,,
3,ادم,,
3,اذر,,
3,ارد,,
3,ارس,,
3,ارش,,
3,اره,,
3,ارگ,,
3,اسب,,
3,اسم,,
3,اشک,,
3,اغل,,
3,افق,,
3,الو,,
3,امر,,
3,اهو,,
3,ایت,,
3,ایه,,
3,باد,,
3,بار,,
3,باز,,
3,بال,,
3,بام,,
3,بدل,,
3,بدن,,
3,برج,,
3,برد,,
3,برش,,
3,برف,,
3,برق,,
3,بره,,
3,برگ,,
3,بشر,,
3,بنا,,
3,بند,,
3,بوق,,
3,بچه,,
3,بیخ,,
3,بید,,
3,بیل,,
3,تاب,,
3,تاج,,
3,تاس,,
3,تخم,,
3,ترس,,
3,ترش,,
3,تره,,
3,تست,,
3,تشک,,
3,تمر,,
3,تند,,
3,تنگ,,
3,تهی,,
3,توت,,
3,تور,,
3,توپ,,
3,تپش,,
3,تپل,,
3,تیر,,
3,تیغ,,
3,تیپ,,
3,جان,,
3,جرم,,
3,جسم,,
3,جشن,,
3,جغد,,
3,جلد,,
3,جنس,,
3,جنگ,,
3,جوی,,
3,جگر,,
3,جیب,,
3,جیغ,,
3,حرم,,
3,حسد,,
3,حسن,,
3,حفظ,,
3,حمل,,
3,حکم,,
3,خاش,,
3,خاص,,
3,خال,,
3,خان,,
3,خاک,,
3,خدا,,
3,خرس,,
3,خشم,,
3,خشن,,
3,خشک,,
3,خطا,,
3,خنک,,
3,خوب,,
3,خون,,
3,خوک,,
3,خیر,,
